1	1	538830.52	4814012.16	61.18	-0.2245	0.1166	5.2989	0	0
1	2	538801.51	4813984.83	21.4122	0.049	0.004	0.4348	0	0
1	3	538839.93	4813997.24	53.1595	-0.1741	0.0026	5.3094	0	0
1	4	538853.07	4814029.27	0.0015	0.0015	-0.0013	3.5949	0	0
1	5	538807.07	4813994.78	26.3638	0.1087	-0.0083	0.4463	0	0
1	6	538851.07	4814024.37	0.0039	0.0028	0.0058	3.6658	0	0
1	7	538865.73	4814031.21	0.002	-0.0041	-0.0036	3.6068	0	0
1	8	538826.55	4813996.31	3.9593	0.0083	-0.0649	0.1487	0	0
1	9	538858.29	4814023.57	0.0021	0.0021	-0.0021	3.5783	0	0
1	10	538819.41	4813997.24	5.3286	0.0315	0.004	0.5005	0	0
1	11	538842.39	4814000.65	0.4648	0.0007	-0.0003	2.1566	0	0
1	12	538845.55	4814025.47	0.5055	-0.0008	-0.0003	3.6176	0	0
1	13	538859.36	4814027.95	0.0009	0.0006	0.0003	3.6039	0	0
1	14	538818.11	4814003.66	0.0034	-0.001	0.0102	0.4214	0	0
1	15	538871.95	4814038.46	13.2802	-0.0112	-0.0568	3.6308	0	0
1	16	538861.43	4814004.71	3.6284	-0.0467	-0.0594	5.4078	0	0
1	17	538867.46	4814001.04	4.9784	0.0924	0.0302	3.3949	0	0
1	18	538839.21	4814031.52	5.5781	0.1071	-0.0161	2.0359	0	0
1	19	538836.26	4813991.71	0	0	0	0.9096	0	0
2	1	538834.28	4814006.48	60.5033	-0.737	0.3112	5.2968	0	0.4004
2	2	538803.67	4813985.83	20.8225	-1.0085	0.0062	0.4347	0	0.4004
2	3	538843.26	4813992.35	52.8887	-0.1668	0.0014	5.3093	0	0.4004
2	4	538853.07	4814029.27	0.0028	0.0023	-0.0049	3.5949	0	0.4004
2	5	538809.71	4813996.05	24.8033	-2.6427	-0.0277	0.4467	0	0.4004
2	6	538851.07	4814024.37	0.0032	-0.0026	0.0053	3.6658	0	0.4004
2	7	538865.73	4814031.21	0.0018	0.0029	0	3.6068	0	0.4004
2	8	538827	4813996.32	3.7903	-0.2762	-0.163	0.1917	0	0.4004
2	9	538858.29	4814023.57	0.0046	0.0015	-0.0181	3.5783	0	0.4004
